"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2336","Login with invalid credentails","Microsoft Edge","2026-07-17","passed","2026-07-17","","login.spec.ts","",""
"","31048","Register Email Charlie","Mobile Safari","2026-07-17","broken","2026-07-17","","login.spec.ts","",""
"","30983","Register Email Alice","Mobile Safari","2026-07-17","broken","2026-07-17","","login.spec.ts","",""
"","2704","e2e crud flow test","Mobile Chrome","2026-07-17","passed","2026-07-17","","api/e2ecred.spec.ts","",""
"","5153","Register Email Bob","webkit","2026-07-17","passed","2026-07-17","","login.spec.ts","",""
"","2619","Login with invalid credentails","firefox","2026-07-17","passed","2026-07-17","","login.spec.ts","",""
"","2744","e2e crud flow test","Mobile Safari","2026-07-17","passed","2026-07-17","","api/e2ecred.spec.ts","",""
"","3394","Register Email Charlie","Google Chrome","2026-07-17","passed","2026-07-17","","login.spec.ts","",""
"","722","GET API -- get all users","chromium","2026-07-17","passed","2026-07-17","","api/user.api.spec.ts","",""
"","3937","Get Product MetaData","Microsoft Edge","2026-07-17","passed","2026-07-17","","searchproduct.spec.ts","",""
"","678","GET API -- get all users","firefox","2026-07-17","passed","2026-07-17","","api/user.api.spec.ts","",""
"","4553","Search Product macbook","webkit","2026-07-17","passed","2026-07-17","","searchproduct.spec.ts","",""
"","2922","Search Product macbook","chromium","2026-07-17","passed","2026-07-17","","searchproduct.spec.ts","",""
"","30919","Register Email Bob","Mobile Safari","2026-07-17","broken","2026-07-17","","login.spec.ts","",""
"","2856","Search Product samsung","chromium","2026-07-17","passed","2026-07-17","","searchproduct.spec.ts","",""
"","4259","Register Email Bob","firefox","2026-07-17","passed","2026-07-17","","login.spec.ts","",""
"","4263","Register Email Charlie","firefox","2026-07-17","passed","2026-07-17","","login.spec.ts","",""
"","5134","Login to portal","webkit","2026-07-17","passed","2026-07-17","","login.spec.ts","",""
"","4006","Register Email Alice","Microsoft Edge","2026-07-17","passed","2026-07-17","","login.spec.ts","",""
"","2619","Search Product macbook","Mobile Chrome","2026-07-17","failed","2026-07-17","","searchproduct.spec.ts","",""
"","2496","Search Product samsung","Mobile Chrome","2026-07-17","failed","2026-07-17","","searchproduct.spec.ts","",""
"","31038","Register Email Bob","Mobile Chrome","2026-07-17","broken","2026-07-17","","login.spec.ts","",""
"","2615","e2e crud flow test","firefox","2026-07-17","passed","2026-07-17","","api/e2ecred.spec.ts","",""
"","3306","Login with invalid credentails","webkit","2026-07-17","passed","2026-07-17","","login.spec.ts","",""
"","2895","Search Product macbook","Microsoft Edge","2026-07-17","passed","2026-07-17","","searchproduct.spec.ts","",""
